gameweek,start_date
1,2023-08-11
2,2023-08-18
3,2023-08-25
4,2023-09-01
5,2023-09-15
6,2023-09-22
7,2023-09-29
8,2023-10-06
9,2023-10-20
10,2023-10-27
11,2023-11-03
12,2023-11-10
13,2023-11-24
14,2023-12-01
15,2023-12-01
16,2023-12-08
17,2023-12-15
18,2023-12-22
19,2023-12-22
20,2023-12-29
21,2024-01-12
22,2024-01-26
23,2024-02-02
24,2024-02-09
25,2024-02-16
26,2024-02-23
27,2024-03-01
28,2024-03-08
29,2024-03-15
30,2024-03-29
31,2024-03-29
32,2024-04-05
33,2024-04-12
34,2024-04-19
35,2024-04-26
36,2024-05-03
37,2024-05-10
38,2024-05-17
