unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2024-02-10,5,1,27,24,0.0
2024-02-11,6,2,27,24,1.0
2024-02-12,0,3,27,24,2.0
2024-02-17,5,4,28,25,7.0
2024-02-18,6,5,28,25,8.0
2024-02-19,0,6,28,25,9.0
2024-02-20,1,7,28,25,10.0
2024-02-21,2,8,28,25,11.0
2024-02-23,4,9,29,26,13.0
2024-02-24,5,10,29,26,14.0
2024-02-25,6,11,29,26,15.0
2024-02-26,0,12,29,26,16.0
2024-03-02,5,13,30,27,21.0
2024-03-03,6,14,30,27,22.0
2024-03-04,0,15,30,27,23.0
2024-03-09,5,16,31,28,28.0
2024-03-10,6,17,31,28,29.0
2024-03-11,0,18,31,28,30.0
2024-03-13,2,19,31,28,32.0
2024-03-16,5,20,32,29,35.0
2024-03-17,6,21,32,29,36.0
2024-03-30,5,22,34,30,49.0
2024-03-31,6,23,34,30,50.0
2024-04-02,1,24,34,31,52.0
2024-04-03,2,25,34,31,53.0
2024-04-06,5,26,35,32,56.0
2024-04-13,5,27,36,33,63.0
2024-04-20,5,28,37,34,70.0
2024-04-23,1,29,37,34,73.0
2024-04-27,5,30,38,35,77.0
2024-05-04,5,31,39,36,84.0
2024-05-11,5,32,40,37,91.0
2024-05-14,1,33,40,37,94.0
2024-05-19,6,34,41,38,99.0
