,fbref_team_name,Full Team Name,team_name,rel_off,rel_def,off_k,def_k,Poss,pass_against_k,sot_against_k,tack_against_k,saves_against_k,yc_against_k,pens_p90,pass_for_k,sot_for_k,tack_for_k,save_for_k,savep90_2223,og_for_k,yc_for_k,pen_against_k,pen_score_k,pen_save_k
0,Manchester City,Manchester City,MCI,2.3,0.82,1.67,0.6,65.1,0.75,0.58,0.88,1.08,1.3,0.222,1.57,1.34,0.74,0.52,1.52,1.34,1.3,1.0,1.0,1.0
1,Liverpool,Liverpool,LIV,2.03,1.22,1.48,0.89,59.8,0.83,1.09,1.09,1.28,0.74,0.123,1.31,1.37,0.85,1.13,3.3,1.37,0.74,1.0,1.0,1.0
2,Chelsea,Chelsea,CHE,1.45,1.06,1.05,0.77,58.2,0.83,1.03,1.11,0.97,1.01,0.161,1.25,0.92,1.16,1.14,3.33,0.92,1.01,1.0,1.0,1.0
3,Manchester Utd,Manchester United,MUN,1.58,1.28,1.15,0.93,51.9,0.96,0.92,0.85,1.15,0.67,0.149,1.06,1.21,0.98,0.9,2.62,1.21,0.67,1.0,1.0,1.0
4,Tottenham,Tottenham Hotspur,TOT,1.7,1.27,1.24,0.92,50.3,1.1,1.08,1.01,1.12,1.16,0.139,1.1,1.24,0.94,1.07,3.14,1.24,1.16,1.0,1.0,1.0
5,Leicester City,Leicester City,LEI,1.25,1.58,0.91,1.15,50.3,1.07,1.06,0.82,0.91,0.86,0.122,1.1,0.96,1.04,0.98,2.86,0.96,0.86,1.0,1.0,1.0
6,Arsenal,Arsenal,ARS,1.79,1.01,1.3,0.73,57.5,0.8,0.73,1.09,1.06,1.28,0.143,1.17,1.27,0.88,0.79,2.3,1.27,1.28,1.0,1.0,1.0
7,Everton,Everton,EVE,1.05,1.6,0.76,1.16,45.4,1.09,1.21,0.96,0.94,1.17,0.112,0.88,0.81,1.06,1.29,3.76,0.81,1.17,1.0,1.0,1.0
8,Leeds United,Leeds United,LEE,1.28,1.64,0.93,1.19,51.2,0.88,1.09,1.09,0.94,1.06,0.13,0.9,0.93,1.33,1.01,2.95,0.93,1.06,1.0,1.0,1.0
9,West Ham,West Ham United,WHU,1.22,1.31,0.89,0.95,44.5,1.19,0.93,0.88,0.94,0.93,0.182,0.88,0.81,0.91,0.95,2.76,0.81,0.93,1.0,1.0,1.0
10,Brighton,Brighton & Hove Albion,BHA,1.51,1.22,1.1,0.89,57.8,0.84,0.76,0.92,1.17,1.23,0.193,1.21,1.26,0.96,0.75,2.2,1.26,1.23,1.0,1.0,1.0
11,Aston Villa,Aston Villa,AVL,1.21,1.41,0.88,1.03,49.3,0.98,0.97,1.01,1.0,1.01,0.144,0.94,0.96,1.06,0.95,2.76,0.96,1.01,1.0,1.0,1.0
12,Wolves,Wolverhampton Wanderers,WOL,0.98,1.47,0.71,1.07,48.5,1.03,0.98,1.0,0.91,0.96,0.142,0.96,0.76,1.05,0.93,2.71,0.76,0.96,1.0,1.0,1.0
13,Southampton,Southampton,SOU,1.06,1.68,0.77,1.22,44.7,1.07,0.95,1.1,0.96,0.88,0.087,0.8,0.86,1.11,0.77,2.24,0.86,0.88,1.0,1.0,1.0
14,Newcastle Utd,Newcastle United,NEW,1.41,1.15,1.03,0.84,51.3,0.84,0.71,1.07,1.08,1.22,0.172,0.9,1.13,0.96,0.83,2.43,1.13,1.22,1.0,1.0,1.0
15,Nott'ham Forest,Nottingham Forest,FOR,1.0,1.66,0.73,1.21,39.6,1.21,1.11,0.83,0.84,1.01,0.101,0.7,0.73,1.02,1.03,3.0,0.73,1.01,1.0,1.0,1.0
16,Crystal Palace,Crystal Palace,CRY,1.04,1.45,0.76,1.05,45.7,1.13,1.06,1.28,0.96,1.04,0.089,0.91,0.88,1.13,1.06,3.1,0.88,1.04,1.0,1.0,1.0
17,Fulham,Fulham,FUL,1.29,1.5,0.94,1.09,46.6,1.05,1.23,0.96,0.94,0.84,0.178,0.88,0.92,0.96,1.32,3.86,0.92,0.84,1.0,1.0,1.0
18,Brentford,Brentford,BRE,1.34,1.44,0.97,1.05,43.6,1.06,1.34,0.95,0.89,0.88,0.204,0.74,0.93,0.88,1.48,4.33,0.93,0.88,1.0,1.0,1.0
19,Bournemouth,AFC Bournemouth,BOU,1.02,1.74,0.74,1.26,40.0,1.25,1.15,1.1,0.82,0.75,0.078,0.76,0.75,0.98,1.06,3.1,0.75,0.75,1.0,1.0,1.0
mean,AVG,AVG,AVG,1.38,1.38,1.0,1.0,50.07,1.0,1.0,1.0,1.0,1.0,0.14,1.0,1.0,1.0,1.0,2.91,1.0,1.0,1.0,1.0,1.0
